 postcode, legal_name, suburb, address, ogc_fid, longitude, latitude
3145.0,Pebble Patch ELC Cranbourne Pty Ltd ATF Pebble Patch ELC Cranbourne Trust,MALVERN EAST,Pebble Patch ELC,1148,145.06,-37.878
3145.0,Little Learning Patch Cranbourne Pty Ltd ATF Little Learning Patch Cranbourne Trust,MALVERN EAST,Little Learning Patch,1149,145.06,-37.878
3145.0,MAYFIELD CHILDCARE LIMITED,MALVERN EAST,Mayfield Early Education,1150,145.06,-37.878
3162.0,Glen Eira City Council,CAULFIELD SOUTH,Glen Eira City Council,1151,145.026,-37.891
3126.0,St Paul's Anglican Kindergarten (Canterbury) Inc,CANTERBURY,CNR CHURCH ST & HIGHFIELD RD ,1152,145.0741474,-37.8245223
3072.0,Preston North East Primary School Council,PRESTON,Preston North East Primary School Council,1153,145.0107588,-37.7399362
3121.0,Trustees of Edmund Rice Education Australia,RICHMOND,Edmund Rice Education Australia (EREA),1155,144.998,-37.823
3072.0,J S Grey Kindergarten Association Inc,PRESTON WEST,CNR GILBERT RD & REGENT ST ,1156,145.0032128,-37.7356299
3070.0,Westgarth Primary School Council,NORTHCOTE,Westgarth Primary School Council,1157,144.9997396,-37.7736132
3070.0,Early Childhood Management Services Inc,NORTHCOTE,Early Childhood Management Services ,1158,144.9997396,-37.7736132
3074.0,Thomastown Meadows Primary School,THOMASTOWN,Thomastown Meadows Primary School,1159,145.0107588,-37.6837819
3001.0,In Loco Parentis PTY LTD ATF the In Loco Parentis Trust,MELBOURNE,In Loco Parentis   ATF the In Loco Parentis Trust,1160,144.9625965,-37.8124206
3001.0,Melbourne City Council,MELBOURNE,Melbourne City Council,1161,144.9625965,-37.8124206
3001.0,ROSANNA VILLAGE CHILD CARE CENTRE PTY. LTD.,MELBOURNE,Rosanna Village Child Care Centre,1162,144.9625965,-37.8124206
3046.0,Glenroy West Primary School Council,GLENROY,Glenroy West Primary School Council,1163,144.924,-37.706
3046.0,Glenroy West Kindergarten Inc,GLENROY,Glenroy West Kindergarten ,1164,144.924,-37.706
3088.0,Yandell Kindergarten Inc,GREENSBOROUGH,1 COMMUNITY DR ,1165,145.117,-37.686
3016.0,ENT Nominees P/L for the ENT Trust Trading as Bright Steps Educational Childcare & Kindergarten,WILLIAMSTOWN,ENT Nominees P/L for the ENT Trust Trading as Bright Steps Educational Childcare & Kindergarten,1166,144.885,-37.861
3016.0,Robina Scott Kindergarten Inc,WILLIAMSTOWN,Robina Scott Kindergarten ,1167,144.885,-37.861
3086.0,La Trobe University,LA TROBE UNIVERSITY,LA TROBE UNIVERSITY COMMUNITY CHILDREN'S CENTRE ,1168,145.0483946,-37.7207268
3058.0,Kids on the Avenue Children's Centre Inc.,MORELAND,32 THE AVENUE ,1173,144.9666905,-37.7343488
3058.0,MORELAND PRIMARY SCHOOL COUNCIL,MORELAND,MORELAND PRIMARY SCHOOL COUNCIL,1174,144.9666905,-37.7343488
3058.0,Ali Kassem,MORELAND,Ali Kassem,1175,144.9666905,-37.7343488
3058.0,LEAPKIDS AUSTRALIA PTY LTD,MORELAND,Leapkids,1176,144.9666905,-37.7343488
3058.0,Antonine College,MORELAND,Antonine College,1177,144.9666905,-37.7343488
3062.0,Roxburgh Homestead Primary School,SOMERTON,Roxburgh Homestead Primary School,1178,144.944665,-37.6332889
3062.0,Our Lady's Parish Craigieburn,SOMERTON,Our Lady's Parish Craigieburn,1179,144.944665,-37.6332889
3073.0,Reservoir Primary School Council,RESERVOIR,Reservoir Primary School Council,1180,145.0107588,-37.7118644
3073.0,Northern Darebin Combined Kindergarten Association Inc.,RESERVOIR,Northern Darebin Combined Kindergarten  .,1181,145.0107588,-37.7118644
3031.0,Incursions Pty Ltd,FLEMINGTON,Supreme ursions,1182,144.928,-37.785
