,datetime_local,location_name,BPM2.5
498,2022-01-21-20,Melbourne CBD,10.464
499,2022-01-21-21,Melbourne CBD,4.859
500,2022-01-21-22,Melbourne CBD,5.758
501,2022-01-21-23,Melbourne CBD,6.091
502,2022-01-22-00,Melbourne CBD,6.074
503,2022-01-22-01,Melbourne CBD,5.331
504,2022-01-22-02,Melbourne CBD,8.641
505,2022-01-22-03,Melbourne CBD,3.965
506,2022-01-22-04,Melbourne CBD,8.643
507,2022-01-22-05,Melbourne CBD,12.543
508,2022-01-22-06,Melbourne CBD,7.404
509,2022-01-22-07,Melbourne CBD,6.764
510,2022-01-22-08,Melbourne CBD,3.786
511,2022-01-22-09,Melbourne CBD,3.761
512,2022-01-22-10,Melbourne CBD,11.284
513,2022-01-22-11,Melbourne CBD,3.221
514,2022-01-22-12,Melbourne CBD,4.232
515,2022-01-22-13,Melbourne CBD,6.634
516,2022-01-22-14,Melbourne CBD,6.75
517,2022-01-22-15,Melbourne CBD,6.818
518,2022-01-22-16,Melbourne CBD,3.938
519,2022-01-22-17,Melbourne CBD,4.208
520,2022-01-22-18,Melbourne CBD,12.98
521,2022-01-22-19,Melbourne CBD,12.441
522,2022-01-22-20,Melbourne CBD,3.73
523,2022-01-22-21,Melbourne CBD,11.482
524,2022-01-22-22,Melbourne CBD,5.241
525,2022-01-22-23,Melbourne CBD,6.002
526,2022-01-23-00,Melbourne CBD,7.632
527,2022-01-23-01,Melbourne CBD,12.018
528,2022-01-23-02,Melbourne CBD,4.022
529,2022-01-23-03,Melbourne CBD,5.957
530,2022-01-23-04,Melbourne CBD,8.248
531,2022-01-23-05,Melbourne CBD,0.627
532,2022-01-23-06,Melbourne CBD,8.925
533,2022-01-23-07,Melbourne CBD,0.626
534,2022-01-23-08,Melbourne CBD,7.057
535,2022-01-23-09,Melbourne CBD,4.608
536,2022-01-23-10,Melbourne CBD,10.786
537,2022-01-23-11,Melbourne CBD,-0.274
538,2022-01-23-12,Melbourne CBD,6.322
539,2022-01-23-13,Melbourne CBD,8.772
540,2022-01-23-14,Melbourne CBD,4.801
541,2022-01-23-15,Melbourne CBD,7.221
542,2022-01-23-16,Melbourne CBD,7.111
543,2022-01-23-17,Melbourne CBD,6.069
544,2022-01-23-18,Melbourne CBD,9.386
545,2022-01-23-19,Melbourne CBD,9.393
546,2022-01-23-20,Melbourne CBD,2.885
547,2022-01-23-21,Melbourne CBD,10.726
548,2022-01-23-22,Melbourne CBD,7.197
549,2022-01-23-23,Melbourne CBD,5.495
550,2022-01-24-00,Melbourne CBD,12.938
551,2022-01-24-01,Melbourne CBD,10.069
552,2022-01-24-02,Melbourne CBD,5.579
553,2022-01-24-03,Melbourne CBD,5.802
554,2022-01-24-04,Melbourne CBD,4.534
555,2022-01-24-05,Melbourne CBD,8.115
556,2022-01-24-06,Melbourne CBD,1.726
557,2022-01-24-07,Melbourne CBD,9.481
558,2022-01-24-08,Melbourne CBD,6.984
559,2022-01-24-09,Melbourne CBD,9.279
560,2022-01-24-10,Melbourne CBD,6.543
561,2022-01-24-11,Melbourne CBD,5.28
562,2022-01-24-12,Melbourne CBD,4.809
563,2022-01-24-13,Melbourne CBD,4.955
564,2022-01-24-14,Melbourne CBD,8.367
565,2022-01-24-15,Melbourne CBD,13.318
566,2022-01-24-16,Melbourne CBD,8.481
