 postcode, legal_name, suburb, address, ogc_fid
3023.0,Jindi Woraback Children's Centre Inc,CAIRNLEA,Jindi Woraback Children's Centre ,1875
3025.0,Westgate Sports & Leisure Inc,ALTONA NORTH,Westgate Sports & Leisure ,1880
3094.0,Montmorency Primary School,MONTMORENCY,Montmorency Primary School,1892
3088.0,Briar Hill Preschool Association Inc,BRIAR HILL,118 KARINGAL DRIVE ,1969
3199.0,Community Kinders Plus Inc.,FRANKSTON,Community Kinders Plus .,1910
3104.0,Boroondara Preschool Inc,GREYTHORN,Boroondara Preschool ,1913
3023.0,BUTTERFLY FAMILY DAY CARE PTY. LTD.,CAIRNLEA,BUTTERFLY FAMILY DAY CARE . .,1917
3042.0,Penleigh & Essendon Grammar School,NIDDRIE,Penleigh & Essendon Grammar School,1921
3977.0,AAAM CONSULTANTS PTY LTD,CRANBOURNE,SWEDA FAMILY CARE,1925
3796.0,Morrison House Inc,MOUNT EVELYN,Morrison House ,1927
3806.0,Timbarra P-9 College,BERWICK,Timbarra P-9 College,1929
3106.0,Rose Gardens' Children Pty Ltd ATF Rose Garden Investment Trust,TEMPLESTOWE,Rose Garden Kids,1942
3149.0,Essex Heights Primary School Council,MOUNT WAVERLEY,ESSEX ROAD ,1974
3171.0,iCare Family Day Care Pty Ltd,SANDOWN VILLAGE,iCare Family Day Care  ,1980
3936.0,Janet Egglestone,DROMANA,Janet Egglestone,1994
3939.0,Mornington Peninsula Shire,ROSEBUD,Mornington Peninsula Shire,1998
3191.0,Wallaby Childcare Epping Pty Ltd (ATF) Wallaby Childcare Epping Trust,SANDRINGHAM,Wallaby Childcare Epping,2001
3151.0,Point Cook Montessori Centre Pty Ltd ATF Point Cook Montessori Centre Unit Trust,BURWOOD EAST,Point Cook Montessori Centre   ATF Point Cook Montessori Centre Unit Trust,2010
3188.0,MOIRA Inc.,HAMPTON EAST,928 NEPEAN HWY ,2013
3808.0,Upper Beaconsfield Community Centre Inc,BEACONSFIELD UPPER,Upper Beaconsfield Community Centre ,2016
3186.0,Platypus Junction Mulgrave Pty Ltd ATF Platypus Junction Mulgrave Trust,BRIGHTON NORTH,Platypus Junction Mulgrave  ,2031
3939.0,Eramosa Pty Ltd,ROSEBUD,Eramosa  ,2032
