geography_name, rai_national_total_2014_q2, rai_national_total_2014_q3, rai_national_total_2014_q4, rai_national_total_2021_q1, rai_national_total_2014_q1, state, rai_national_total_2020_q1, rai_national_total_2020_q2, rai_national_total_2020_q3, rai_national_total_2011_q2, rai_national_total_2020_q4, rai_national_total_2011_q1, city, unique_id, rai_national_total_2013_q3, rai_national_total_2013_q4, rai_national_total_2013_q1, rai_national_total_2012_q4, rai_national_total_2013_q2, rai_national_total_2015_q3, rai_national_total_2015_q4, rai_national_total_2015_q1, rai_national_total_2015_q2, rai_national_total_2016_q1, rai_national_total_2016_q2, rai_national_total_2016_q3, rai_national_total_2016_q4, rai_national_total_2012_q1, rai_national_total_2012_q3, rai_national_total_2012_q2, rai_national_total_2017_q3, rai_national_total_2017_q4, rai_national_total_2019_q1, rai_national_total_2017_q1, rai_national_total_2019_q2, rai_national_total_2017_q2, rai_national_total_2011_q4, rai_national_total_2018_q4, rai_national_total_2018_q3, rai_national_total_2018_q2, rai_national_total_2018_q1, rai_national_total_2021_q2, rai_national_total_2019_q3, rai_national_total_2019_q4
"3090",null,null,null,null,null,"VIC",null,null,null,null,null,null,"Greater Melbourne",1390,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"3091",null,null,null,null,null,"VIC",null,null,null,null,null,null,"Greater Melbourne",1391,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"3096",null,null,null,null,null,"VIC",null,null,null,null,null,null,"Greater Melbourne",1395,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"3097",null,null,null,null,null,"VIC",null,null,null,null,null,null,"Greater Melbourne",1396,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"3099",113.8664,127.2624,null,116.6811,null,"VIC",null,null,null,null,null,130.273,"Greater Melbourne",1397,null,120.1923,123.6264,null,113.8664,null,null,128.2051,115.3846,null,null,null,null,102.2395,102.2395,109.1476,null,119.606,119.606,128.2051,98.07692,null,null,null,108.9744,163.4615,108.3723,null,100.0785,111.0724
"3101",96.15385,98.33916,98.19967,110.4746,96.15385,"VIC",99.85207,103.8462,108.1731,93.91771,107.0579,97.9021,"Greater Melbourne",1398,100.6261,96.15385,96.15385,96.15385,100.6261,94.19152,98.19967,94.19152,102.5641,100.3344,96.15385,93.24009,92.30769,91.78322,89.74359,96.15385,96.15385,100.0785,96.15385,97.16599,98.07692,98.19967,90.24495,96.15385,98.07692,98.07692,98.07692,115.3846,96.15385,94.30473
"3106",96.15385,89.21491,96.15385,104.8951,93.55509,"VIC",94.40559,94.40559,86.53846,100.3344,85.82327,106.2753,"Greater Melbourne",1403,96.15385,96.15385,92.06219,91.09312,100.6261,98.19967,89.61912,92.30769,91.39375,94.67456,93.24009,85.47009,88.7574,98.49906,93.91771,100.9615,88.7574,92.5254,84.54907,86.26887,88.35759,93.24009,84.13462,83.11604,83.11604,87.56868,93.40659,99.37431,97.10586,85.28428
"3102",101.81,89.67716,102.5641,103.8462,96.15385,"VIC",97.96807,87.26568,101.81,96.15385,106.5089,89.74359,"Greater Melbourne",1399,94.57755,100.6261,96.15385,103.022,103.022,90.94354,104.8951,97.16599,92.30769,101.437,91.39375,102.5641,79.5756,90.75194,86.84864,100.9615,102.5641,98.07692,92.5254,92.30769,94.76031,90.49774,97.31233,97.4571,92.5254,98.07692,84.54907,114.1167,93.85351,89.16084
"3103",100.6261,87.85631,107.3345,115.3846,103.022,"VIC",103.8462,108.1731,103.8462,102.2395,108.1731,102.2395,"Greater Melbourne",1400,100.6261,108.1731,103.022,99.4695,100.6261,100.8827,97.16599,98.19967,93.24009,98.7248,92.30769,94.19152,95.16257,87.79264,91.78322,96.15385,102.5641,98.56977,97.58898,107.9622,99.0676,96.65727,98.49906,97.10586,100.0785,99.0676,100.5917,115.3846,99.0676,89.16084
"3107",100.6261,96.15385,103.1371,103.8462,103.022,"VIC",97.96807,100.2376,103.8462,100.9615,99.85207,100.9615,"Greater Melbourne",1404,100.6261,96.15385,96.15385,96.15385,100.6261,102.5641,98.19967,104.8951,100.3344,102.5641,95.65564,102.5641,100.3344,91.78322,98.49906,98.49906,100.3344,98.07692,94.30473,98.19967,98.56977,94.19152,86.84864,96.15385,102.1635,96.15385,101.1102,97.05248,98.07692,99.57048
"3108",100.6261,100.6261,109.8901,118.007,100.6261,"VIC",111.3035,115.3846,115.3846,92.8382,108.7394,97.31233,"Greater Melbourne",1405,105.5347,108.1731,104.2632,101.2146,108.1731,108.5973,102.5641,106.1008,104.8951,100.3344,106.1008,112.5704,104.8951,102.2395,102.2395,105.5807,102.5641,107.7768,104.3372,102.5641,101.1102,100.305,100.9615,102.1635,106.6054,102.1635,102.1635,120.7513,102.1635,102.1635
"3109",103.022,100.6261,102.5641,108.7394,100.6261,"VIC",103.8462,105.9655,110.4746,103.5503,104.8951,104.2184,"Greater Melbourne",1406,103.022,100.6261,101.2146,103.022,101.81,102.5641,102.5641,100.3344,100.3344,102.5641,100.3344,102.5641,93.24009,100.9615,100.9615,96.15385,98.19967,102.1635,98.07692,96.15385,98.07692,102.5641,98.49906,98.07692,102.1635,100.5917,103.2389,111.6625,99.57048,98.07692
"3104",91.57509,86.53846,83.91608,88.7574,86.53846,"VIC",81.76863,85.1198,84.77237,87.79264,87.26568,81.58508,"Greater Melbourne",1401,87.41259,86.53846,86.53846,84.84163,89.21491,83.91608,84.68596,92.77155,87.91209,80.97166,87.91209,82.05128,83.16008,81.58508,82.84024,85.47009,83.16008,86.41139,84.54907,76.92308,89.16084,88.7574,81.58508,85.28428,84.91508,89.97883,87.17949,91.09312,89.16084,81.05531
"3105",103.022,105.5347,101.437,98.9011,104.2632,"VIC",108.1731,115.3846,105.4276,106.2753,110.4746,100.9615,"Greater Melbourne",1402,113.8664,108.8534,108.1731,110.9467,109.5424,112.5704,108.5973,107.3345,113.9601,102.5641,106.1008,109.8901,102.5641,102.2395,101.5965,106.2753,102.5641,108.9744,104.3372,102.5641,108.9744,94.19152,103.5503,103.2389,98.56977,108.3723,108.9744,108.1731,108.9744,102.1635
"3114",null,null,null,null,null,"VIC",null,null,null,null,null,null,"Greater Melbourne",1409,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"3115",null,null,null,null,null,"VIC",null,null,null,null,null,null,"Greater Melbourne",1410,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,98.07692
"3116",113.8664,109.5424,121.4575,110.4746,113.8664,"VIC",115.3846,115.3846,112.8763,100.3344,112.8763,113.7595,"Greater Melbourne",1411,112.9745,110.9467,120.1923,113.8664,113.1222,116.8452,113.9601,118.3432,113.261,109.8901,119.8801,100.8827,107.3345,110.6428,100.9615,101.5965,109.8901,108.9744,108.9744,109.8901,112.7321,115.3846,102.2395,108.9744,118.165,114.0429,117.4574,107.0579,106.6054,108.9744
"3121",88.30455,90.14423,98.19967,111.6625,90.14423,"VIC",96.15385,103.8462,104.473,89.74359,109.3117,89.74359,"Greater Melbourne",1412,94.06355,94.06355,90.14423,87.41259,92.06219,96.15385,94.19152,96.15385,102.5641,92.30769,99.25558,94.67456,95.16257,89.74359,89.74359,89.74359,87.91209,98.07692,92.5254,90.49774,92.5254,92.30769,88.7574,92.5254,96.15385,98.07692,92.5254,115.3846,98.07692,89.97883
"3122",120.1923,120.1923,123.0769,144.2308,127.2624,"VIC",129.8077,123.6264,131.4508,115.3846,133.1361,121.4575,"Greater Melbourne",1413,125.4181,116.9439,123.6264,120.1923,118.5458,124.7401,121.4575,137.7727,119.8801,131.8681,115.3846,123.0769,116.8452,126.2019,122.3776,112.1795,123.9029,119.606,130.7692,131.8681,116.7582,115.3846,110.6428,114.0429,122.5962,118.165,129.9032,148.3516,116.7582,114.0429
"3123",110.9467,109.5424,109.8901,129.8077,108.8534,"VIC",116.6811,119.3634,123.6264,102.2395,129.8077,100.9615,"Greater Melbourne",1414,111.6625,105.5347,108.1731,109.5424,108.1731,115.3846,115.3846,115.3846,115.3846,115.6738,109.8901,109.8901,109.8901,100.9615,102.2395,100.9615,109.8901,114.0429,112.0879,112.5704,107.1879,109.8901,100.9615,109.5832,112.7321,111.451,116.7582,133.1361,108.9744,106.6054
